id,domain,surface,tab,entity,operation,sourceFile,sourceLine,currentBehaviour,requiredBehaviour,apiMethodPath,validation,authorization,states,sideEffect,persistence,evidence,status,blockedBy
OP-ITAM-SHELL-INSTALL-GATE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,/app/asset-management (every tab),,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/AssetManagement.tsx,26,"Renders a 'not installed' block when the localStorage installed[] array lacks 'ITAM'. defaultInstalled is ['CRM','HR'] (workspace.tsx:729) so a fresh workspace always sees the gate.","Server-side entitlement check per tenant; unentitled requests get 403 from the API, not just a hidden screen.",GET /api/v1/assets/entitlement,"appCode must be an installed, non-disabled app for the tenant",Any tenant member; entitlement resolved server-side,,none,browser-only,,DISCOVERED,
OP-ITAM-SHELL-BROWSE-MARKETPLACE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,/app/asset-management (gate state),,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/AssetManagement.tsx,33,Link navigates to /app/marketplace.,Unchanged; deep-link back to the ITAM card after install.,n/a (navigation),,Any tenant member,,none,unknown,,DISCOVERED,
OP-ITAM-SHELL-TAB-NAV,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,/app/asset-management?tab=*,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/AssetManagement.tsx,66,router.push of ?tab=<id>; the dashboard tab pushes the bare path. Unknown tab values silently fall back to dashboard (line 24).,"Keep URL-addressable tabs; unknown tab -> 404 or explicit redirect, not a silent fallback.",n/a (navigation),,Any tenant member,,none,unknown,,DISCOVERED,
OP-ITAM-SHELL-TRIAL-BADGE,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,/app/asset-management (header),,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/AssetManagement.tsx,57,Renders 'Trial · {trialDaysLeft} days left' from the hardcoded constant TRIAL_DAYS = 13 (workspace.tsx:67); it never counts down.,Derive from the tenant subscription's trial_ends_at; show expired state.,GET /api/v1/billing/subscription,,Any tenant member,,none,unknown,,DISCOVERED,
OP-ITAM-DASH-ACTIVE-COUNT,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,33,assets.filter(stage !== 'Retired').length computed in the browser over the localStorage array.,"Server aggregate scoped to tenant+company, excluding retired and archived units.",GET /api/v1/assets/metrics,,"Asset viewer role, tenant-scoped",,none,browser-only,,DISCOVERED,
OP-ITAM-DASH-PENDING-REQUESTS,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,AssetRequest,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,34,"assetRequests.filter(status === 'Pending').length; counts every tenant request, not those awaiting this user.",Two figures: total pending and pending on the viewer's approval level.,GET /api/v1/assets/metrics,,Asset viewer; approver figure scoped to the caller,,none,unknown,,DISCOVERED,
OP-ITAM-DASH-OUT-OF-WARRANTY,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,35,daysUntil(warrantyEnd) < 0 evaluated with new Date() in browser-local time; blank warranty yields Infinity and is silently excluded.,SQL predicate warranty_end < current_date in the tenant timezone; blank warranty reported separately as 'unknown'.,GET /api/v1/assets/metrics,,Asset viewer,,none,unknown,,DISCOVERED,
OP-ITAM-DASH-WARRANTY-EXPIRING,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,36,"0 <= daysUntil(warrantyEnd) <= warrantyAlertDays, where the window is the hardcoded constant 60 (assetData.ts:118).","Window must be tenant-configurable settings, not a compile-time constant.",GET /api/v1/assets/metrics?window=60,window is a positive integer number of days,Asset viewer,,none,unknown,,DISCOVERED,
OP-ITAM-DASH-LEAVER-HOLDINGS,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,Asset,read,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,40,"stage === 'Issued' && assignedTo.endsWith('(leaver)') — employment status inferred from a suffix inside a display name. assignedTo is never set anywhere, so this tile is permanently 0.",Join active assignments to employment status on the identity record; no string suffix.,GET /api/v1/assets/metrics,,Asset admin (exposes HR status),,none,unknown,,DISCOVERED,
OP-ITAM-DASH-EXPIRING-LIST,Asset Management (ITAM) — /Users/sushank/.codex/worktrees/ac6c/gst,?tab=dashboard,,Asset,list,/Users/sushank/.codex/worktrees/ac6c/gst/src/screens/app/assets/panes.tsx,85,"Renders every expiring asset with no cap, no ordering and no link to the unit.","Paginated, ordered by warranty_end ascending, each row linking to the asset detail route.",GET /api/v1/assets?warrantyExpiringWithinDays=60&sort=warrantyEnd,,Asset viewer,,none,unknown,,SERVED,
